Description	Count	contig
DNA, RNA and nucleotide metabolism	0	contig_1254
head and packaging	8	contig_1254
integration and excision	0	contig_1254
lysis	0	contig_1254
moron, auxiliary metabolic gene and host takeover	0	contig_1254
other	0	contig_1254
tail	8	contig_1254
transcription regulation	0	contig_1254
unknown function	29	contig_1254
tRNAs	0	contig_1254
CRISPRs	0	contig_1254
tmRNAs	0	contig_1254
VFDB_Virulence_Factors	0	contig_1254
CARD_AMR_Genes	0	contig_1254
CDS	105	contig_1257
connector	5	contig_1257
DNA, RNA and nucleotide metabolism	8	contig_1257
head and packaging	8	contig_1257
integration and excision	0	contig_1257
lysis	2	contig_1257
moron, auxiliary metabolic gene and host takeover	0	contig_1257
other	2	contig_1257
tail	6	contig_1257
transcription regulation	0	contig_1257
unknown function	74	contig_1257
tRNAs	1	contig_1257
CRISPRs	0	contig_1257
tmRNAs	0	contig_1257
VFDB_Virulence_Factors	0	contig_1257
CARD_AMR_Genes	0	contig_1257
CDS	94	contig_1262
connector	4	contig_1262
DNA, RNA and nucleotide metabolism	6	contig_1262
head and packaging	7	contig_1262
integration and excision	0	contig_1262
lysis	2	contig_1262
moron, auxiliary metabolic gene and host takeover	0	contig_1262
other	0	contig_1262
tail	8	contig_1262
transcription regulation	2	contig_1262
unknown function	65	contig_1262
tRNAs	0	contig_1262
CRISPRs	0	contig_1262
tmRNAs	0	contig_1262
VFDB_Virulence_Factors	0	contig_1262
CARD_AMR_Genes	0	contig_1262
CDS	141	contig_1266
connector	0	contig_1266
DNA, RNA and nucleotide metabolism	3	contig_1266
head and packaging	4	contig_1266
integration and excision	0	contig_1266
lysis	1	contig_1266
moron, auxiliary metabolic gene and host takeover	0	contig_1266
other	1	contig_1266
tail	0	contig_1266
transcription regulation	0	contig_1266
unknown function	132	contig_1266
tRNAs	0	contig_1266
CRISPRs	0	contig_1266
tmRNAs	0	contig_1266
VFDB_Virulence_Factors	0	contig_1266
CARD_AMR_Genes	0	contig_1266
CDS	61	contig_1271
connector	0	contig_1271
DNA, RNA and nucleotide metabolism	1	contig_1271
head and packaging	3	contig_1271
integration and excision	0	contig_1271
lysis	0	contig_1271
moron, auxiliary metabolic gene and host takeover	0	contig_1271
other	0	contig_1271
tail	0	contig_1271
transcription regulation	0	contig_1271
unknown function	57	contig_1271
tRNAs	0	contig_1271
CRISPRs	0	contig_1271
tmRNAs	0	contig_1271
VFDB_Virulence_Factors	0	contig_1271
CARD_AMR_Genes	0	contig_1271
CDS	63	contig_1272
connector	0	contig_1272
DNA, RNA and nucleotide metabolism	0	contig_1272
head and packaging	5	contig_1272
integration and excision	0	contig_1272
lysis	0	contig_1272
moron, auxiliary metabolic gene and host takeover	0	contig_1272
other	1	contig_1272
tail	0	contig_1272
transcription regulation	0	contig_1272
unknown function	57	contig_1272
tRNAs	0	contig_1272
CRISPRs	0	contig_1272
tmRNAs	0	contig_1272
VFDB_Virulence_Factors	0	contig_1272
CARD_AMR_Genes	0	contig_1272
CDS	60	contig_1280
connector	0	contig_1280
DNA, RNA and nucleotide metabolism	2	contig_1280
head and packaging	0	contig_1280
integration and excision	0	contig_1280
lysis	1	contig_1280
moron, auxiliary metabolic gene and host takeover	0	contig_1280
other	1	contig_1280
tail	1	contig_1280
transcription regulation	0	contig_1280
unknown function	55	contig_1280
tRNAs	0	contig_1280
CRISPRs	0	contig_1280
tmRNAs	0	contig_1280
VFDB_Virulence_Factors	0	contig_1280
CARD_AMR_Genes	0	contig_1280
CDS	76	contig_1290
connector	0	contig_1290
DNA, RNA and nucleotide metabolism	3	contig_1290
head and packaging	6	contig_1290
integration and excision	0	contig_1290
lysis	0	contig_1290
moron, auxiliary metabolic gene and host takeover	0	contig_1290
other	1	contig_1290
tail	2	contig_1290
transcription regulation	0	contig_1290
unknown function	64	contig_1290
tRNAs	0	contig_1290
CRISPRs	0	contig_1290
tmRNAs	0	contig_1290
VFDB_Virulence_Factors	0	contig_1290
CARD_AMR_Genes	0	contig_1290
CDS	105	contig_1298
connector	0	contig_1298
DNA, RNA and nucleotide metabolism	8	contig_1298
head and packaging	3	contig_1298
integration and excision	0	contig_1298
lysis	2	contig_1298
moron, auxiliary metabolic gene and host takeover	1	contig_1298
other	3	contig_1298
tail	0	contig_1298
transcription regulation	0	contig_1298
unknown function	88	contig_1298
tRNAs	0	contig_1298
CRISPRs	0	contig_1298
tmRNAs	0	contig_1298
VFDB_Virulence_Factors	0	contig_1298
CARD_AMR_Genes	0	contig_1298
CDS	52	contig_1303
connector	0	contig_1303
DNA, RNA and nucleotide metabolism	1	contig_1303
head and packaging	5	contig_1303
integration and excision	0	contig_1303
lysis	1	contig_1303
moron, auxiliary metabolic gene and host takeover	0	contig_1303
other	0	contig_1303
tail	2	contig_1303
transcription regulation	0	contig_1303
unknown function	43	contig_1303
tRNAs	0	contig_1303
CRISPRs	0	contig_1303
tmRNAs	0	contig_1303
VFDB_Virulence_Factors	0	contig_1303
CARD_AMR_Genes	0	contig_1303
CDS	119	contig_132
connector	0	contig_132
DNA, RNA and nucleotide metabolism	7	contig_132
head and packaging	5	contig_132
integration and excision	0	contig_132
lysis	1	contig_132
moron, auxiliary metabolic gene and host takeover	0	contig_132
other	1	contig_132
tail	0	contig_132
transcription regulation	0	contig_132
unknown function	105	contig_132
tRNAs	0	contig_132
CRISPRs	0	contig_132
tmRNAs	0	contig_132
VFDB_Virulence_Factors	0	contig_132
CARD_AMR_Genes	0	contig_132
CDS	40	contig_1320
connector	0	contig_1320
DNA, RNA and nucleotide metabolism	0	contig_1320
head and packaging	1	contig_1320
integration and excision	0	contig_1320
lysis	0	contig_1320
moron, auxiliary metabolic gene and host takeover	0	contig_1320
other	0	contig_1320
tail	0	contig_1320
transcription regulation	0	contig_1320
unknown function	39	contig_1320
tRNAs	0	contig_1320
CRISPRs	0	contig_1320
tmRNAs	0	contig_1320
VFDB_Virulence_Factors	0	contig_1320
CARD_AMR_Genes	0	contig_1320
CDS	82	contig_1322
connector	2	contig_1322
DNA, RNA and nucleotide metabolism	9	contig_1322
head and packaging	8	contig_1322
integration and excision	0	contig_1322
lysis	0	contig_1322
moron, auxiliary metabolic gene and host takeover	0	contig_1322
other	0	contig_1322
tail	3	contig_1322
transcription regulation	1	contig_1322
unknown function	59	contig_1322
tRNAs	1	contig_1322
CRISPRs	0	contig_1322
tmRNAs	0	contig_1322
VFDB_Virulence_Factors	0	contig_1322
CARD_AMR_Genes	0	contig_1322
CDS	104	contig_1323
connector	0	contig_1323
DNA, RNA and nucleotide metabolism	5	contig_1323
head and packaging	6	contig_1323
integration and excision	0	contig_1323
lysis	2	contig_1323
moron, auxiliary metabolic gene and host takeover	1	contig_1323
other	1	contig_1323
tail	2	contig_1323
transcription regulation	0	contig_1323
unknown function	87	contig_1323
tRNAs	0	contig_1323
CRISPRs	0	contig_1323
tmRNAs	0	contig_1323
VFDB_Virulence_Factors	0	contig_1323
CARD_AMR_Genes	0	contig_1323
CDS	92	contig_1326
connector	0	contig_1326
DNA, RNA and nucleotide metabolism	1	contig_1326
head and packaging	4	contig_1326
integration and excision	0	contig_1326
lysis	1	contig_1326
moron, auxiliary metabolic gene and host takeover	0	contig_1326
other	2	contig_1326
tail	1	contig_1326
transcription regulation	0	contig_1326
unknown function	83	contig_1326
tRNAs	0	contig_1326
CRISPRs	0	contig_1326
tmRNAs	0	contig_1326
VFDB_Virulence_Factors	0	contig_1326
CARD_AMR_Genes	0	contig_1326
CDS	138	contig_1327
connector	0	contig_1327
DNA, RNA and nucleotide metabolism	0	contig_1327
head and packaging	3	contig_1327
integration and excision	0	contig_1327
lysis	2	contig_1327
moron, auxiliary metabolic gene and host takeover	0	contig_1327
other	1	contig_1327
tail	0	contig_1327
transcription regulation	0	contig_1327
unknown function	132	contig_1327
tRNAs	0	contig_1327
CRISPRs	0	contig_1327
tmRNAs	0	contig_1327
VFDB_Virulence_Factors	0	contig_1327
CARD_AMR_Genes	0	contig_1327
CDS	100	contig_133
connector	1	contig_133
DNA, RNA and nucleotide metabolism	11	contig_133
head and packaging	6	contig_133
integration and excision	1	contig_133
lysis	3	contig_133
moron, auxiliary metabolic gene and host takeover	0	contig_133
other	3	contig_133
tail	4	contig_133
transcription regulation	0	contig_133
unknown function	71	contig_133
tRNAs	0	contig_133
CRISPRs	0	contig_133
tmRNAs	0	contig_133
VFDB_Virulence_Factors	0	contig_133
CARD_AMR_Genes	0	contig_133
CDS	108	contig_1330
connector	0	contig_1330
DNA, RNA and nucleotide metabolism	3	contig_1330
head and packaging	2	contig_1330
integration and excision	1	contig_1330
lysis	0	contig_1330
moron, auxiliary metabolic gene and host takeover	0	contig_1330
other	0	contig_1330
tail	1	contig_1330
transcription regulation	0	contig_1330
unknown function	101	contig_1330
tRNAs	0	contig_1330
CRISPRs	0	contig_1330
tmRNAs	0	contig_1330
VFDB_Virulence_Factors	0	contig_1330
CARD_AMR_Genes	0	contig_1330
CDS	60	contig_1331
connector	0	contig_1331
DNA, RNA and nucleotide metabolism	0	contig_1331
head and packaging	2	contig_1331
integration and excision	0	contig_1331
lysis	0	contig_1331
moron, auxiliary metabolic gene and host takeover	0	contig_1331
other	0	contig_1331
tail	0	contig_1331
transcription regulation	0	contig_1331
unknown function	58	contig_1331
tRNAs	0	contig_1331
CRISPRs	0	contig_1331
tmRNAs	0	contig_1331
VFDB_Virulence_Factors	0	contig_1331
CARD_AMR_Genes	0	contig_1331
CDS	51	contig_1344
connector	0	contig_1344
DNA, RNA and nucleotide metabolism	0	contig_1344
head and packaging	3	contig_1344
integration and excision	0	contig_1344
lysis	0	contig_1344
moron, auxiliary metabolic gene and host takeover	0	contig_1344
other	0	contig_1344
tail	0	contig_1344
transcription regulation	0	contig_1344
unknown function	48	contig_1344
tRNAs	0	contig_1344
CRISPRs	0	contig_1344
tmRNAs	0	contig_1344
VFDB_Virulence_Factors	0	contig_1344
CARD_AMR_Genes	0	contig_1344
CDS	74	contig_1351
connector	0	contig_1351
DNA, RNA and nucleotide metabolism	0	contig_1351
head and packaging	2	contig_1351
integration and excision	0	contig_1351
lysis	0	contig_1351
moron, auxiliary metabolic gene and host takeover	0	contig_1351
other	1	contig_1351
tail	0	contig_1351
transcription regulation	0	contig_1351
unknown function	71	contig_1351
tRNAs	0	contig_1351
CRISPRs	0	contig_1351
tmRNAs	0	contig_1351
VFDB_Virulence_Factors	0	contig_1351
CARD_AMR_Genes	0	contig_1351
CDS	124	contig_1356
connector	0	contig_1356
DNA, RNA and nucleotide metabolism	3	contig_1356
head and packaging	10	contig_1356
integration and excision	0	contig_1356
lysis	0	contig_1356
moron, auxiliary metabolic gene and host takeover	0	contig_1356
other	0	contig_1356
tail	2	contig_1356
transcription regulation	0	contig_1356
unknown function	109	contig_1356
tRNAs	0	contig_1356
CRISPRs	0	contig_1356
tmRNAs	0	contig_1356
VFDB_Virulence_Factors	0	contig_1356
CARD_AMR_Genes	0	contig_1356
CDS	65	contig_1360
connector	0	contig_1360
DNA, RNA and nucleotide metabolism	2	contig_1360
head and packaging	1	contig_1360
integration and excision	0	contig_1360
lysis	1	contig_1360
moron, auxiliary metabolic gene and host takeover	0	contig_1360
other	3	contig_1360
tail	0	contig_1360
transcription regulation	0	contig_1360
unknown function	58	contig_1360
tRNAs	0	contig_1360
CRISPRs	0	contig_1360
tmRNAs	0	contig_1360
VFDB_Virulence_Factors	0	contig_1360
CARD_AMR_Genes	0	contig_1360
CDS	68	contig_1366
connector	0	contig_1366
DNA, RNA and nucleotide metabolism	0	contig_1366
head and packaging	4	contig_1366
integration and excision	0	contig_1366
lysis	0	contig_1366
moron, auxiliary metabolic gene and host takeover	0	contig_1366
other	2	contig_1366
tail	1	contig_1366
transcription regulation	0	contig_1366
unknown function	61	contig_1366
tRNAs	0	contig_1366
CRISPRs	0	contig_1366
tmRNAs	0	contig_1366
VFDB_Virulence_Factors	0	contig_1366
CARD_AMR_Genes	0	contig_1366
CDS	99	contig_1374
connector	0	contig_1374
DNA, RNA and nucleotide metabolism	5	contig_1374
head and packaging	11	contig_1374
integration and excision	0	contig_1374
lysis	2	contig_1374
moron, auxiliary metabolic gene and host takeover	5	contig_1374
other	4	contig_1374
tail	4	contig_1374
transcription regulation	1	contig_1374
unknown function	67	contig_1374
tRNAs	0	contig_1374
CRISPRs	0	contig_1374
tmRNAs	0	contig_1374
VFDB_Virulence_Factors	0	contig_1374
CARD_AMR_Genes	0	contig_1374
CDS	113	contig_1378
connector	0	contig_1378
DNA, RNA and nucleotide metabolism	1	contig_1378
head and packaging	7	contig_1378
integration and excision	0	contig_1378
lysis	2	contig_1378
moron, auxiliary metabolic gene and host takeover	5	contig_1378
other	2	contig_1378
tail	1	contig_1378
transcription regulation	1	contig_1378
unknown function	94	contig_1378
tRNAs	0	contig_1378
CRISPRs	0	contig_1378
tmRNAs	0	contig_1378
VFDB_Virulence_Factors	0	contig_1378
CARD_AMR_Genes	0	contig_1378
CDS	55	contig_1382
connector	0	contig_1382
DNA, RNA and nucleotide metabolism	1	contig_1382
head and packaging	0	contig_1382
integration and excision	0	contig_1382
lysis	0	contig_1382
moron, auxiliary metabolic gene and host takeover	0	contig_1382
other	0	contig_1382
tail	2	contig_1382
transcription regulation	0	contig_1382
unknown function	52	contig_1382
tRNAs	0	contig_1382
CRISPRs	0	contig_1382
tmRNAs	0	contig_1382
VFDB_Virulence_Factors	0	contig_1382
CARD_AMR_Genes	0	contig_1382
CDS	75	contig_1385
connector	0	contig_1385
DNA, RNA and nucleotide metabolism	1	contig_1385
head and packaging	7	contig_1385
integration and excision	0	contig_1385
lysis	0	contig_1385
moron, auxiliary metabolic gene and host takeover	0	contig_1385
other	4	contig_1385
tail	1	contig_1385
transcription regulation	0	contig_1385
unknown function	62	contig_1385
tRNAs	0	contig_1385
CRISPRs	0	contig_1385
tmRNAs	0	contig_1385
VFDB_Virulence_Factors	0	contig_1385
CARD_AMR_Genes	0	contig_1385
CDS	95	contig_139
connector	1	contig_139
DNA, RNA and nucleotide metabolism	8	contig_139
head and packaging	9	contig_139
integration and excision	0	contig_139
lysis	0	contig_139
moron, auxiliary metabolic gene and host takeover	0	contig_139
other	0	contig_139
tail	1	contig_139
transcription regulation	0	contig_139
unknown function	76	contig_139
tRNAs	0	contig_139
CRISPRs	0	contig_139
tmRNAs	0	contig_139
VFDB_Virulence_Factors	0	contig_139
CARD_AMR_Genes	0	contig_139
CDS	135	contig_1393
connector	0	contig_1393
DNA, RNA and nucleotide metabolism	9	contig_1393
head and packaging	1	contig_1393
integration and excision	0	contig_1393
lysis	0	contig_1393
moron, auxiliary metabolic gene and host takeover	0	contig_1393
other	0	contig_1393
tail	1	contig_1393
transcription regulation	1	contig_1393
unknown function	123	contig_1393
tRNAs	0	contig_1393
CRISPRs	0	contig_1393
tmRNAs	0	contig_1393
VFDB_Virulence_Factors	0	contig_1393
CARD_AMR_Genes	0	contig_1393
CDS	160	contig_1394
connector	1	contig_1394
DNA, RNA and nucleotide metabolism	14	contig_1394
head and packaging	1	contig_1394
integration and excision	0	contig_1394
lysis	0	contig_1394
moron, auxiliary metabolic gene and host takeover	0	contig_1394
other	2	contig_1394
tail	4	contig_1394
transcription regulation	0	contig_1394
unknown function	138	contig_1394
tRNAs	4	contig_1394
CRISPRs	0	contig_1394
tmRNAs	0	contig_1394
VFDB_Virulence_Factors	0	contig_1394
CARD_AMR_Genes	0	contig_1394
CDS	106	contig_1396
connector	0	contig_1396
DNA, RNA and nucleotide metabolism	2	contig_1396
head and packaging	7	contig_1396
integration and excision	0	contig_1396
lysis	0	contig_1396
moron, auxiliary metabolic gene and host takeover	3	contig_1396
other	1	contig_1396
tail	2	contig_1396
transcription regulation	0	contig_1396
unknown function	91	contig_1396
tRNAs	0	contig_1396
CRISPRs	0	contig_1396
tmRNAs	0	contig_1396
VFDB_Virulence_Factors	0	contig_1396
CARD_AMR_Genes	0	contig_1396
CDS	43	contig_1398
connector	0	contig_1398
DNA, RNA and nucleotide metabolism	0	contig_1398
head and packaging	3	contig_1398
integration and excision	0	contig_1398
lysis	0	contig_1398
moron, auxiliary metabolic gene and host takeover	0	contig_1398
other	0	contig_1398
tail	0	contig_1398
transcription regulation	0	contig_1398
unknown function	40	contig_1398
tRNAs	0	contig_1398
CRISPRs	0	contig_1398
tmRNAs	0	contig_1398
VFDB_Virulence_Factors	0	contig_1398
CARD_AMR_Genes	0	contig_1398
CDS	47	contig_1407
connector	0	contig_1407
DNA, RNA and nucleotide metabolism	1	contig_1407
head and packaging	1	contig_1407
integration and excision	0	contig_1407
lysis	0	contig_1407
moron, auxiliary metabolic gene and host takeover	0	contig_1407
other	0	contig_1407
tail	3	contig_1407
transcription regulation	0	contig_1407
unknown function	42	contig_1407
tRNAs	0	contig_1407
CRISPRs	0	contig_1407
tmRNAs	0	contig_1407
VFDB_Virulence_Factors	0	contig_1407
CARD_AMR_Genes	0	contig_1407
CDS	128	contig_1423
connector	0	contig_1423
DNA, RNA and nucleotide metabolism	4	contig_1423
head and packaging	1	contig_1423
integration and excision	0	contig_1423
lysis	1	contig_1423
moron, auxiliary metabolic gene and host takeover	0	contig_1423
other	0	contig_1423
tail	4	contig_1423
transcription regulation	0	contig_1423
unknown function	118	contig_1423
tRNAs	0	contig_1423
CRISPRs	0	contig_1423
tmRNAs	0	contig_1423
VFDB_Virulence_Factors	0	contig_1423
CARD_AMR_Genes	0	contig_1423
CDS	59	contig_1424
connector	0	contig_1424
DNA, RNA and nucleotide metabolism	1	contig_1424
head and packaging	4	contig_1424
integration and excision	0	contig_1424
lysis	1	contig_1424
moron, auxiliary metabolic gene and host takeover	0	contig_1424
other	3	contig_1424
tail	1	contig_1424
transcription regulation	1	contig_1424
unknown function	48	contig_1424
tRNAs	0	contig_1424
CRISPRs	0	contig_1424
tmRNAs	0	contig_1424
VFDB_Virulence_Factors	0	contig_1424
CARD_AMR_Genes	0	contig_1424
CDS	35	contig_1430
connector	0	contig_1430
DNA, RNA and nucleotide metabolism	1	contig_1430
head and packaging	0	contig_1430
integration and excision	0	contig_1430
lysis	0	contig_1430
moron, auxiliary metabolic gene and host takeover	0	contig_1430
other	2	contig_1430
tail	1	contig_1430
transcription regulation	1	contig_1430
unknown function	30	contig_1430
tRNAs	0	contig_1430
CRISPRs	0	contig_1430
tmRNAs	0	contig_1430
VFDB_Virulence_Factors	0	contig_1430
CARD_AMR_Genes	0	contig_1430
CDS	30	contig_1433
connector	1	contig_1433
DNA, RNA and nucleotide metabolism	0	contig_1433
head and packaging	5	contig_1433
integration and excision	0	contig_1433
lysis	0	contig_1433
moron, auxiliary metabolic gene and host takeover	0	contig_1433
other	0	contig_1433
tail	0	contig_1433
transcription regulation	0	contig_1433
unknown function	24	contig_1433
tRNAs	0	contig_1433
CRISPRs	0	contig_1433
tmRNAs	0	contig_1433
VFDB_Virulence_Factors	0	contig_1433
CARD_AMR_Genes	0	contig_1433
CDS	57	contig_1437
connector	2	contig_1437
DNA, RNA and nucleotide metabolism	0	contig_1437
head and packaging	7	contig_1437
integration and excision	0	contig_1437
lysis	0	contig_1437
moron, auxiliary metabolic gene and host takeover	0	contig_1437
other	0	contig_1437
tail	9	contig_1437
transcription regulation	0	contig_1437
unknown function	39	contig_1437
tRNAs	0	contig_1437
CRISPRs	0	contig_1437
tmRNAs	0	contig_1437
VFDB_Virulence_Factors	0	contig_1437
CARD_AMR_Genes	0	contig_1437
CDS	58	contig_1438
connector	0	contig_1438
DNA, RNA and nucleotide metabolism	0	contig_1438
head and packaging	5	contig_1438
integration and excision	0	contig_1438
lysis	1	contig_1438
moron, auxiliary metabolic gene and host takeover	0	contig_1438
other	0	contig_1438
tail	1	contig_1438
transcription regulation	0	contig_1438
unknown function	51	contig_1438
tRNAs	0	contig_1438
CRISPRs	0	contig_1438
tmRNAs	0	contig_1438
VFDB_Virulence_Factors	0	contig_1438
CARD_AMR_Genes	0	contig_1438
CDS	82	contig_1439
connector	1	contig_1439
DNA, RNA and nucleotide metabolism	5	contig_1439
head and packaging	5	contig_1439
integration and excision	0	contig_1439
lysis	0	contig_1439
moron, auxiliary metabolic gene and host takeover	0	contig_1439
other	3	contig_1439
tail	2	contig_1439
transcription regulation	0	contig_1439
unknown function	66	contig_1439
tRNAs	0	contig_1439
CRISPRs	0	contig_1439
tmRNAs	0	contig_1439
VFDB_Virulence_Factors	0	contig_1439
CARD_AMR_Genes	0	contig_1439
CDS	68	contig_1445
connector	0	contig_1445
DNA, RNA and nucleotide metabolism	4	contig_1445
head and packaging	3	contig_1445
integration and excision	0	contig_1445
lysis	1	contig_1445
moron, auxiliary metabolic gene and host takeover	1	contig_1445
other	0	contig_1445
tail	0	contig_1445
transcription regulation	0	contig_1445
unknown function	59	contig_1445
tRNAs	0	contig_1445
CRISPRs	0	contig_1445
tmRNAs	0	contig_1445
VFDB_Virulence_Factors	0	contig_1445
CARD_AMR_Genes	0	contig_1445
CDS	98	contig_1451
connector	2	contig_1451
DNA, RNA and nucleotide metabolism	5	contig_1451
head and packaging	10	contig_1451
integration and excision	0	contig_1451
lysis	0	contig_1451
moron, auxiliary metabolic gene and host takeover	2	contig_1451
other	1	contig_1451
tail	2	contig_1451
transcription regulation	0	contig_1451
unknown function	76	contig_1451
tRNAs	0	contig_1451
CRISPRs	0	contig_1451
tmRNAs	0	contig_1451
VFDB_Virulence_Factors	0	contig_1451
CARD_AMR_Genes	0	contig_1451
CDS	118	contig_1456
connector	1	contig_1456
DNA, RNA and nucleotide metabolism	10	contig_1456
head and packaging	6	contig_1456
integration and excision	0	contig_1456
lysis	1	contig_1456
moron, auxiliary metabolic gene and host takeover	0	contig_1456
other	2	contig_1456
tail	3	contig_1456
transcription regulation	2	contig_1456
unknown function	93	contig_1456
tRNAs	0	contig_1456
CRISPRs	0	contig_1456
tmRNAs	0	contig_1456
VFDB_Virulence_Factors	0	contig_1456
CARD_AMR_Genes	0	contig_1456
CDS	65	contig_1457
connector	0	contig_1457
DNA, RNA and nucleotide metabolism	0	contig_1457
head and packaging	3	contig_1457
integration and excision	0	contig_1457
lysis	0	contig_1457
moron, auxiliary metabolic gene and host takeover	0	contig_1457
other	2	contig_1457
tail	0	contig_1457
transcription regulation	0	contig_1457
unknown function	60	contig_1457
tRNAs	0	contig_1457
CRISPRs	0	contig_1457
tmRNAs	0	contig_1457
VFDB_Virulence_Factors	0	contig_1457
CARD_AMR_Genes	0	contig_1457
CDS	69	contig_1459
connector	0	contig_1459
DNA, RNA and nucleotide metabolism	2	contig_1459
head and packaging	2	contig_1459
integration and excision	0	contig_1459
lysis	0	contig_1459
moron, auxiliary metabolic gene and host takeover	0	contig_1459
other	1	contig_1459
tail	0	contig_1459
transcription regulation	0	contig_1459
unknown function	64	contig_1459
tRNAs	0	contig_1459
CRISPRs	0	contig_1459
tmRNAs	0	contig_1459
VFDB_Virulence_Factors	0	contig_1459
CARD_AMR_Genes	0	contig_1459
CDS	68	contig_1460
connector	0	contig_1460
DNA, RNA and nucleotide metabolism	1	contig_1460
head and packaging	0	contig_1460
integration and excision	0	contig_1460
lysis	0	contig_1460
moron, auxiliary metabolic gene and host takeover	0	contig_1460
other	0	contig_1460
tail	4	contig_1460
transcription regulation	0	contig_1460
unknown function	63	contig_1460
tRNAs	0	contig_1460
CRISPRs	0	contig_1460
tmRNAs	0	contig_1460
VFDB_Virulence_Factors	0	contig_1460
CARD_AMR_Genes	0	contig_1460
CDS	54	contig_1467
connector	1	contig_1467
DNA, RNA and nucleotide metabolism	2	contig_1467
head and packaging	0	contig_1467
integration and excision	0	contig_1467
lysis	0	contig_1467
moron, auxiliary metabolic gene and host takeover	0	contig_1467
other	0	contig_1467
tail	4	contig_1467
transcription regulation	0	contig_1467
unknown function	47	contig_1467
tRNAs	0	contig_1467
CRISPRs	0	contig_1467
tmRNAs	0	contig_1467
VFDB_Virulence_Factors	0	contig_1467
CARD_AMR_Genes	0	contig_1467
CDS	55	contig_1469
connector	0	contig_1469
DNA, RNA and nucleotide metabolism	1	contig_1469
head and packaging	5	contig_1469
integration and excision	1	contig_1469
lysis	0	contig_1469
moron, auxiliary metabolic gene and host takeover	0	contig_1469
other	1	contig_1469
tail	1	contig_1469
transcription regulation	0	contig_1469
unknown function	46	contig_1469
tRNAs	0	contig_1469
CRISPRs	0	contig_1469
tmRNAs	0	contig_1469
VFDB_Virulence_Factors	0	contig_1469
CARD_AMR_Genes	0	contig_1469
CDS	119	contig_1472
connector	0	contig_1472
DNA, RNA and nucleotide metabolism	3	contig_1472
head and packaging	7	contig_1472
integration and excision	0	contig_1472
lysis	1	contig_1472
moron, auxiliary metabolic gene and host takeover	0	contig_1472
other	1	contig_1472
tail	0	contig_1472
transcription regulation	0	contig_1472
unknown function	107	contig_1472
tRNAs	0	contig_1472
CRISPRs	0	contig_1472
tmRNAs	0	contig_1472
VFDB_Virulence_Factors	0	contig_1472
CARD_AMR_Genes	0	contig_1472
CDS	57	contig_1473
connector	1	contig_1473
DNA, RNA and nucleotide metabolism	2	contig_1473
head and packaging	2	contig_1473
integration and excision	0	contig_1473
lysis	0	contig_1473
moron, auxiliary metabolic gene and host takeover	0	contig_1473
other	0	contig_1473
tail	3	contig_1473
transcription regulation	1	contig_1473
unknown function	48	contig_1473
tRNAs	0	contig_1473
CRISPRs	0	contig_1473
tmRNAs	0	contig_1473
VFDB_Virulence_Factors	0	contig_1473
CARD_AMR_Genes	0	contig_1473
CDS	88	contig_1474
connector	1	contig_1474
DNA, RNA and nucleotide metabolism	7	contig_1474
head and packaging	9	contig_1474
integration and excision	1	contig_1474
lysis	1	contig_1474
moron, auxiliary metabolic gene and host takeover	0	contig_1474
other	0	contig_1474
tail	3	contig_1474
transcription regulation	1	contig_1474
unknown function	65	contig_1474
tRNAs	0	contig_1474
CRISPRs	0	contig_1474
tmRNAs	0	contig_1474
VFDB_Virulence_Factors	0	contig_1474
CARD_AMR_Genes	0	contig_1474
CDS	37	contig_1476
connector	0	contig_1476
DNA, RNA and nucleotide metabolism	0	contig_1476
head and packaging	0	contig_1476
integration and excision	0	contig_1476
lysis	0	contig_1476
moron, auxiliary metabolic gene and host takeover	0	contig_1476
other	0	contig_1476
tail	2	contig_1476
transcription regulation	0	contig_1476
unknown function	35	contig_1476
tRNAs	0	contig_1476
CRISPRs	0	contig_1476
tmRNAs	0	contig_1476
VFDB_Virulence_Factors	0	contig_1476
CARD_AMR_Genes	0	contig_1476
CDS	119	contig_1477
connector	2	contig_1477
DNA, RNA and nucleotide metabolism	10	contig_1477
head and packaging	8	contig_1477
integration and excision	0	contig_1477
lysis	1	contig_1477
moron, auxiliary metabolic gene and host takeover	0	contig_1477
other	1	contig_1477
tail	1	contig_1477
transcription regulation	0	contig_1477
unknown function	96	contig_1477
tRNAs	0	contig_1477
CRISPRs	0	contig_1477
tmRNAs	0	contig_1477
VFDB_Virulence_Factors	0	contig_1477
CARD_AMR_Genes	0	contig_1477
CDS	78	contig_1482
connector	4	contig_1482
DNA, RNA and nucleotide metabolism	4	contig_1482
head and packaging	6	contig_1482
integration and excision	0	contig_1482
lysis	1	contig_1482
moron, auxiliary metabolic gene and host takeover	0	contig_1482
other	6	contig_1482
tail	2	contig_1482
transcription regulation	0	contig_1482
unknown function	55	contig_1482
tRNAs	0	contig_1482
CRISPRs	0	contig_1482
tmRNAs	0	contig_1482
VFDB_Virulence_Factors	0	contig_1482
CARD_AMR_Genes	0	contig_1482
CDS	154	contig_1484
connector	1	contig_1484
DNA, RNA and nucleotide metabolism	18	contig_1484
head and packaging	6	contig_1484
integration and excision	0	contig_1484
lysis	1	contig_1484
moron, auxiliary metabolic gene and host takeover	1	contig_1484
other	2	contig_1484
tail	9	contig_1484
transcription regulation	1	contig_1484
unknown function	115	contig_1484
tRNAs	1	contig_1484
CRISPRs	0	contig_1484
