gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
contig_1327_6	2199	2402	204	1	0.471	11	None	GENOMAD.004669.VV	1.105e-19	83	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_7	2529	2645	117	1	0.419	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_8	2724	3218	495	1	0.493	11	GGA/GAG/AGG	GENOMAD.002327.VV	2.307e-39	145	0	0	1	2561	Caudoviricetes	NA	NA	PF12236	Bacteriophage head to tail connecting protein
contig_1327_9	3175	3603	429	1	0.492	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_10	3563	4129	567	1	0.526	11	None	GENOMAD.001661.VV	2.947e-17	82	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_11	4197	4409	213	-1	0.521	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_12	4384	4584	201	-1	0.557	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_13	4850	5458	609	1	0.460	11	GGAG/GAGG	GENOMAD.001851.VV	5.65e-37	140	0	0	0	2561	Caudoviricetes	NA	NA	PF00166;COG0234	Co-chaperonin GroES (HSP10)
contig_1327_14	5601	5939	339	1	0.478	11	None	GENOMAD.002891.VV	2.855e-22	93	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_15	5916	6068	153	-1	0.510	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_16	6408	6545	138	1	0.493	11	GGAGG	GENOMAD.003179.VV	2.986e-08	49	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_17	6547	6870	324	1	0.426	11	3Base/5BMM	GENOMAD.003179.VV	1.692e-25	102	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_18	7090	7626	537	1	0.477	11	None	GENOMAD.003814.VV	2.925e-24	102	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_19	9650	10045	396	1	0.465	11	None	GENOMAD.033462.VV	1.768e-27	109	0	0	0	2561	Caudoviricetes	NA	NA	PF12195	Beta barrel domain of bacteriophage endosialidase
contig_1327_20	10192	10539	348	1	0.445	11	None	GENOMAD.025896.VV	2.179e-34	128	0	0	0	2561	Caudoviricetes	NA	NA	PF12195	Beta barrel domain of bacteriophage endosialidase
contig_1327_21	10772	11206	435	1	0.444	11	GGAG/GAGG	GENOMAD.019111.VV	2.347e-21	92	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_22	11318	11578	261	1	0.487	11	None	GENOMAD.002820.VV	8.173e-09	53	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_23	11580	11744	165	1	0.533	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_24	11728	11892	165	1	0.521	11	3Base/5BMM	GENOMAD.201114.VV	6.147e-06	43	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_25	11886	12065	180	1	0.550	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_26	12145	12780	636	1	0.524	11	None	GENOMAD.002311.VV	7.924e-56	195	0	0	1	2561	Caudoviricetes	NA	NA	PF20387	NA
contig_1327_27	12753	13379	627	1	0.493	11	GGA/GAG/AGG	GENOMAD.002663.VV	8.281e-35	134	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_28	14609	15052	444	1	0.475	11	GGA/GAG/AGG	GENOMAD.004266.VV	7.144e-07	50	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_29	14997	15227	231	1	0.437	11	GGxGG	GENOMAD.003399.VV	1.494e-13	66	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_30	15866	16252	387	1	0.581	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_31	16207	16389	183	1	0.574	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_32	17072	17206	135	1	0.504	11	AGxAGG/AGGxGG	GENOMAD.076149.VV	8.288e-06	42	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_33	17172	17666	495	1	0.537	11	GGxGG	GENOMAD.082769.VV	1.009e-21	94	0	0	0	5797	Crassvirales	NA	NA	NA	NA
contig_1327_34	19757	20035	279	1	0.462	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_35	20159	20473	315	1	0.410	11	None	GENOMAD.195571.VV	1.843e-07	50	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_36	20812	20997	186	1	0.527	11	GGAG/GAGG	GENOMAD.011195.VV	3.379e-07	47	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_37	21083	21292	210	1	0.495	11	AGGA	GENOMAD.014945.VV	7.662e-10	55	0	0	0	2561	Caudoviricetes	NA	NA	PF20045	NA
contig_1327_38	21383	21556	174	1	0.483	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_39	22334	22660	327	1	0.505	11	GGA/GAG/AGG	GENOMAD.055203.VV	8.872e-17	77	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_40	22660	23175	516	1	0.517	11	AGGAG	GENOMAD.121583.VV	2.745e-05	46	0	0	0	2561	Caudoviricetes	NA	NA	PF09374;COG3926	Lysozyme family protein
contig_1327_41	23172	23582	411	1	0.518	11	GGA/GAG/AGG	GENOMAD.189772.VP	2.487e-34	129	0	0	0	2561	Caudoviricetes	NA	NA	PF11351	Holin of 3TMs, for gene-transfer release
contig_1327_42	23937	24281	345	1	0.507	11	None	GENOMAD.002067.VV	1.883e-19	85	0	0	0	2561	Caudoviricetes	NA	NA	PF12195	Beta barrel domain of bacteriophage endosialidase
contig_1327_43	24430	24699	270	1	0.507	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_44	24762	25163	402	1	0.493	11	None	GENOMAD.001114.VV	2.023e-43	155	0	0	1	2561	Caudoviricetes	NA	NA	PF11134	Phage stabilisation protein
contig_1327_45	25139	25387	249	1	0.450	11	3Base/5BMM	GENOMAD.001227.VV	3.867e-07	48	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_46	25387	25611	225	1	0.498	11	None	GENOMAD.003717.VV	4.843e-09	53	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_47	25660	25752	93	1	0.462	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_48	26100	26819	720	1	0.613	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_49	27245	27430	186	1	0.478	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_50	27427	27660	234	1	0.526	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_51	27611	27775	165	1	0.467	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_52	28030	28197	168	1	0.458	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_53	28422	28625	204	1	0.485	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_54	29391	29669	279	1	0.455	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_55	29798	30304	507	1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_56	30660	30995	336	1	0.536	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_57	31113	31466	354	1	0.489	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_58	31861	32061	201	1	0.488	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_59	33396	33686	291	1	0.529	11	3Base/5BMM	GENOMAD.020993.VV	6.114e-08	51	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1327_60	33842	34021	180	-1	0.600	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_61	34092	34190	99	1	0.566	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_62	34382	34876	495	1	0.481	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_63	35168	35440	273	1	0.516	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_64	35612	35854	243	1	0.514	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_65	36167	36772	606	1	0.530	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_66	36955	37197	243	1	0.535	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1327_67	37194	37418	225	1	0.467	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_1	719	1027	309	1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_2	1093	2403	1311	-1	0.622	11	GGAG/GAGG	GENOMAD.049437.VV	1.255e-196	614	0	0	0	2561	Caudoviricetes	NA	NA	PF10926;COG2887;TIGR01896;K07465	RecB family exonuclease
contig_133_3	2400	2843	444	-1	0.628	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_4	2840	3184	345	-1	0.565	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_5	3554	3883	330	1	0.630	11	GGA/GAG/AGG	GENOMAD.123103.VV	4.468e-48	167	0	0	1	2561	Caudoviricetes	NA	NA	PF06892;TIGR00673	NA
contig_133_6	3880	3975	96	1	0.510	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_7	3972	4460	489	1	0.573	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_8	4457	4624	168	1	0.613	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_9	4621	4875	255	1	0.510	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_10	4872	5378	507	1	0.588	11	GGAG/GAGG	GENOMAD.033440.VV	1.2e-05	47	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_11	5402	5542	141	1	0.582	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_12	5959	6261	303	1	0.584	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_13	6258	6752	495	1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_14	7040	8275	1236	1	0.602	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_15	8576	8956	381	1	0.564	11	GGAG/GAGG	GENOMAD.191104.VP	9.041e-16	75	0	0	0	2561	Caudoviricetes	NA	NA	PF06413;COG5352;TIGR00721;K13583	Neugrin
contig_133_16	8976	9551	576	1	0.630	11	None	GENOMAD.172137.VP	2.393e-22	97	0	0	1	2561	Caudoviricetes	NA	NA	PF07141;COG3728;TIGR02036	Putative bacteriophage terminase small subunit
contig_133_17	9548	11149	1602	1	0.634	11	GGA/GAG/AGG	GENOMAD.192868.VP	8.793e-84	291	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_18	11211	11396	186	1	0.634	11	GGAG/GAGG	GENOMAD.118178.VV	9.835e-05	40	0	0	0	1	NA	NA	NA	NA	NA
contig_133_19	11396	13084	1689	1	0.626	11	None	GENOMAD.192868.VP	7.955e-104	351	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_20	13118	15160	2043	1	0.579	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_21	15347	15667	321	1	0.586	11	None	GENOMAD.014395.VV	2.941e-27	107	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_22	15660	16271	612	1	0.609	11	GGA/GAG/AGG	GENOMAD.026473.VV	2.331e-48	173	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_23	16282	17289	1008	1	0.612	11	GGA/GAG/AGG	GENOMAD.004790.VV	5.008e-112	364	0	0	1	2561	Caudoviricetes	NA	NA	PF19307	Phage capsid-like protein
contig_133_24	17321	17788	468	1	0.632	11	GGA/GAG/AGG	GENOMAD.017558.VV	2.281e-52	182	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_25	17799	18029	231	1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_26	18136	18768	633	1	0.632	11	GGAG/GAGG	GENOMAD.065541.VV	5.829e-30	120	0	0	1	2561	Caudoviricetes	NA	NA	PF17212	Tail tubular protein
contig_133_27	18765	21245	2481	1	0.640	11	3Base/5BMM	GENOMAD.073420.VV	2.915e-112	386	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_28	21235	21693	459	1	0.627	11	GGAG/GAGG	GENOMAD.008986.VV	9.071e-36	134	0	0	0	2561	Caudoviricetes	NA	NA	PF11090;COG3818;TIGR03585	Bacteriophage T7, probable scaffold protein Gp13
contig_133_29	21696	22217	522	1	0.628	11	GGA/GAG/AGG	GENOMAD.022534.VV	2.443e-24	102	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_30	22226	23809	1584	1	0.617	11	GGAG/GAGG	GENOMAD.050102.VV	1.114e-10	67	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_31	23806	25959	2154	1	0.623	11	GGA/GAG/AGG	GENOMAD.024106.VV	3.245e-42	170	0	0	0	2561	Caudoviricetes	NA	NA	PF18834;PF18798	Large polyvalent protein associated domain 22; Large polyvalent protein-associated domain 3
contig_133_32	26033	31666	5634	1	0.621	11	AGxAG	GENOMAD.020350.VV	1.413e-29	132	0	0	0	2561	Caudoviricetes	NA	NA	PF18814	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease5
contig_133_33	31614	32516	903	1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_34	32513	33394	882	1	0.616	11	3Base/5BMM	GENOMAD.059431.VV	1.466e-31	128	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_35	33454	34548	1095	1	0.622	11	AGGAG	GENOMAD.048938.VV	3.945e-34	138	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_36	34520	35791	1272	1	0.564	11	GGA/GAG/AGG	GENOMAD.094400.VV	1.323e-14	79	0	0	0	2561	Caudoviricetes	NA	NA	PF12708;TIGR04004	Pectate lyase superfamily protein
contig_133_37	35734	36081	348	1	0.606	11	None	GENOMAD.047532.VV	5.537e-08	52	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_38	36078	36560	483	1	0.634	11	GGA/GAG/AGG	GENOMAD.080960.VV	1.861e-10	61	0	0	0	2561	Caudoviricetes	NA	NA	PF05838;COG3926;K22918	Lysozyme family protein
contig_133_39	36562	36972	411	1	0.647	11	GGAG/GAGG	GENOMAD.178434.VP	3.761e-38	140	0	0	0	2561	Caudoviricetes	NA	NA	PF11351	Holin of 3TMs, for gene-transfer release
contig_133_40	36991	37233	243	-1	0.593	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_41	37230	37568	339	-1	0.631	11	GGA/GAG/AGG	GENOMAD.077623.VV	0.0001414	42	0	0	0	2561	Caudoviricetes	NA	NA	TIGR02419	phage/conjugal plasmid C-4 type zinc finger protein, TraR family
contig_133_42	37565	37951	387	-1	0.527	11	AGGA	GENOMAD.003121.VV	2.766e-21	91	0	0	1	2561	Caudoviricetes	NA	NA	PF11651	P22 coat protein - gene protein 5
contig_133_43	37953	38105	153	-1	0.510	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_44	38140	38706	567	-1	0.612	11	None	GENOMAD.049437.VV	1.736e-11	65	0	0	0	2561	Caudoviricetes	NA	NA	PF10926;COG2887;TIGR01896;K07465	RecB family exonuclease
contig_133_45	39151	39393	243	-1	0.654	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_46	39390	39716	327	-1	0.612	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_47	39713	40042	330	-1	0.597	11	GGAGG	GENOMAD.011209.VV	2.71e-45	159	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_48	40543	40965	423	1	0.605	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_49	41219	41899	681	-1	0.634	11	AGGAGG	GENOMAD.133822.VV	1.797e-09	60	0	0	0	2561	Caudoviricetes	NA	NA	PF00476	DNA polymerase family A
contig_133_50	41883	42458	576	-1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_51	42685	43128	444	-1	0.669	11	GGxGG	GENOMAD.152614.VP	3.983e-34	129	0	0	0	2561	Caudoviricetes	NA	NA	PF13482;K02334;COG0749;TIGR01388	DNA polymerase I - 3'-5' exonuclease and polymerase domains
contig_133_52	43128	43331	204	-1	0.662	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_53	43792	44307	516	-1	0.669	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_54	44461	45018	558	1	0.609	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_55	45205	45444	240	1	0.592	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_56	45973	46545	573	-1	0.656	11	None	GENOMAD.049437.VV	4.592e-61	209	0	0	0	2561	Caudoviricetes	NA	NA	PF10926;COG2887;TIGR01896;K07465	RecB family exonuclease
contig_133_57	46794	47102	309	-1	0.654	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_58	47314	47694	381	-1	0.559	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_59	48145	48312	168	-1	0.560	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_60	48575	48733	159	1	0.585	11	GGA/GAG/AGG	GENOMAD.123103.VV	3.708e-23	92	0	0	1	2561	Caudoviricetes	NA	NA	PF06892;TIGR00673	NA
contig_133_61	48730	48825	96	1	0.531	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_62	49317	49484	168	1	0.619	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_63	49481	49627	147	1	0.592	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_64	49984	50175	192	1	0.557	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_65	50299	50604	306	1	0.582	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_133_66	50882	52528	1647	1	0.625	11	None	GENOMAD.037700.VV	0.0003173	46	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_133_67	52830	53171	342	1	0.558	11	AGGA	GENOMAD.191104.VP	2.679e-15	73	0	0	0	2561	Caudoviricetes	NA	NA	PF06413;COG5352;TIGR00721;K13583	Neugrin
contig_133_68	53191	53613	423	1	0.624	11	None	GENOMAD.172137.VP	5.804e-18	82	0	0	1	2561	Caudoviricetes	NA	NA	PF07141;COG3728;TIGR02036	Putative bacteriophage terminase small subunit
contig_1330_1	3	62	60	-1	0.433	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_2	299	508	210	-1	0.438	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_3	825	1037	213	-1	0.432	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_4	1110	1394	285	-1	0.414	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_5	2274	2372	99	-1	0.374	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_6	2369	2791	423	-1	0.442	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_7	2788	3114	327	-1	0.352	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_8	3387	3623	237	1	0.435	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_9	4950	5168	219	-1	0.470	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_10	5152	5385	234	-1	0.517	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_11	5499	5705	207	-1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_12	6294	6494	201	-1	0.433	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_13	6569	6997	429	-1	0.478	11	None	GENOMAD.099644.VP	3.066e-26	106	0	0	1	2561	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033;K01143	Phage-related protein, predicted endonuclease
contig_1330_14	7496	7738	243	-1	0.399	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_15	7731	7925	195	-1	0.410	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_16	7922	8056	135	-1	0.430	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_17	9699	9998	300	-1	0.390	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_18	10365	10811	447	-1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_19	11157	11369	213	-1	0.437	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_20	11380	11595	216	-1	0.366	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_21	11592	11720	129	-1	0.395	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_22	11720	11899	180	-1	0.450	11	AGGA	GENOMAD.086600.VV	3.488e-06	44	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_23	11901	12173	273	-1	0.447	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_24	13404	13976	573	-1	0.466	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_25	14037	14459	423	-1	0.494	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_26	14703	14861	159	-1	0.415	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_27	14858	15616	759	-1	0.480	11	None	GENOMAD.081337.VV	6.816e-21	95	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1330_28	15971	16207	237	-1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_29	16311	16655	345	-1	0.470	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_30	16735	17445	711	-1	0.461	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_31	17834	18808	975	-1	0.481	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_32	18910	20781	1872	-1	0.454	11	4Base/6BMM	GENOMAD.136168.VP	8.26e-08	58	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1330_33	21378	21905	528	-1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_34	21905	22276	372	-1	0.449	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_35	22233	22769	537	-1	0.454	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_36	22780	23544	765	-1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_37	23707	23913	207	-1	0.517	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_38	24238	24486	249	-1	0.486	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_39	25065	25346	282	-1	0.429	11	AGGAG	GENOMAD.079562.VV	4.394e-10	57	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1330_40	25343	25828	486	-1	0.364	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_41	25945	26241	297	-1	0.434	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_42	26275	26445	171	-1	0.322	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_43	26554	26808	255	-1	0.361	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_44	27180	27521	342	-1	0.442	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_45	27586	28008	423	-1	0.444	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_46	28336	28566	231	-1	0.468	11	3Base/5BMM	GENOMAD.095912.VV	6.676e-14	67	0	0	1	2561	Caudoviricetes	NA	NA	PF19821;TIGR04387	Phage capsid protein
contig_1330_47	28599	29159	561	-1	0.430	11	None	GENOMAD.095912.VV	1.598e-12	68	0	0	1	2561	Caudoviricetes	NA	NA	PF19821;TIGR04387	Phage capsid protein
contig_1330_48	29188	29523	336	-1	0.449	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_49	29516	30046	531	-1	0.484	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_50	30132	30416	285	-1	0.460	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_51	30409	30744	336	-1	0.443	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_52	30737	30991	255	-1	0.510	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1330_53	31126	31830	705	-1	0.471	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1331_1	1525	1761	237	-1	0.451	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1331_2	2055	2315	261	-1	0.483	11	None	GENOMAD.015120.VV	5.097e-06	45	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1331_3	2476	2778	303	-1	0.482	11	None	GENOMAD.015120.VV	9.56e-13	65	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
